                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.5631,                0.95055,                      1,                0.46753,             0.00023294,             0.00023294,             0.00023294
                      2,                 0.2755,                0.98352,                      1,                0.35469,             0.00045229,             0.00045229,             0.00045229
                      3,                0.18646,                0.98901,                      1,                0.34433,             0.00065279,             0.00065279,             0.00065279
                      4,                0.13634,                0.98901,                      1,                0.33793,             0.00062918,             0.00062918,             0.00062918
                      5,                0.12329,                0.96703,                      1,                0.34599,             0.00062918,             0.00062918,             0.00062918
                      6,                0.15512,                0.97802,                      1,                0.34783,              0.0006009,              0.0006009,              0.0006009
                      7,                0.15321,                0.98901,                      1,                0.33541,             0.00057263,             0.00057263,             0.00057263
                      8,                0.15117,                0.98901,                      1,                0.34135,             0.00054435,             0.00054435,             0.00054435
                      9,                0.10427,                0.98352,                      1,                0.33045,             0.00051608,             0.00051608,             0.00051608
                     10,                0.10822,                0.98901,                      1,                0.32968,              0.0004878,              0.0004878,              0.0004878
                     11,                0.09369,                0.98901,                      1,                0.33316,             0.00045953,             0.00045953,             0.00045953
                     12,                0.13732,                0.96703,                      1,                0.35467,             0.00043126,             0.00043126,             0.00043126
                     13,                0.11618,                0.98352,                      1,                0.33548,             0.00040298,             0.00040298,             0.00040298
                     14,                0.14378,                0.97802,                      1,                0.33703,             0.00037471,             0.00037471,             0.00037471
                     15,                 0.0599,                0.98901,                      1,                0.33605,             0.00034643,             0.00034643,             0.00034643
                     16,                0.07391,                0.98901,                      1,                0.32817,             0.00031816,             0.00031816,             0.00031816
                     17,                0.05951,                0.98901,                      1,                0.32933,             0.00028988,             0.00028988,             0.00028988
                     18,                 0.0674,                0.98901,                      1,                0.33037,             0.00026161,             0.00026161,             0.00026161
                     19,                0.08541,                0.97253,                      1,                 0.3404,             0.00023334,             0.00023334,             0.00023334
                     20,                0.05593,                0.97802,                      1,                0.33903,             0.00020506,             0.00020506,             0.00020506
                     21,                0.05221,                0.98352,                      1,                0.33841,             0.00017679,             0.00017679,             0.00017679
                     22,                0.06152,                0.97802,                      1,                0.33405,             0.00014851,             0.00014851,             0.00014851
                     23,                0.05992,                0.98901,                      1,                0.32914,             0.00012024,             0.00012024,             0.00012024
                     24,                0.11741,                0.98352,                      1,                0.33039,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     25,                0.03979,                0.98352,                      1,                0.32915,             6.3689e-05,             6.3689e-05,             6.3689e-05
